"TOTAL CROPPEDAREA",KHARIF  CROPS AREA,RABI  CROPS AREA,Unnamed: 0,Unnamed: 1,Unnamed: 2
,TOTAL,"% OF TOTALCROPPED AREA",TOTAL,"% OF TOTALCROPPED AREA",TOTAL
2.0,3,4,5,6,7
