NUMBER OF FARMS,FARM AREA,CULTIVATED AREA,"CULTIVATEDAREA AS % OFFARM AREA",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
TOTAL,PERCENT,TOTAL,PERCENT,TOTAL,PERCENT,"FARMAREA",
2,3,4,5,6,7,8,9.0
