Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11
Table 1.,AREA & PRODUCTION OF FOOD CROPS IN PAKISTAN,1,,,,,,,,
Table 2.,AREA & PRODUCTION OF FOOD CROPS IN PUNJAB,2,,,,,,,,
Table 3.,AREA & PRODUCTION OF FOOD CROPS IN SINDH,3,,,,,,,,
Table 4.,AREA & PRODUCTION OF FOOD CROPS IN KHYBER PAKHTUNKHWA,4,,,,,,,,
Table 5.,AREA & PRODUCTION OF FOOD CROPS IN BALOCHISTAN,5,,,,,,,,
,GRAPHS FOR WHEAT CROP,6,,,,,,,,
Table 6.,PROVINCE-WISE AREA & PRODUCTION OF WHEAT CROP IN PAKISTAN,7,,,,,,,,
Table 7.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN PUNJAB,8,,,,,,,,
Table 8.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN SINDH,12,,,,,,,,
Table 9.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN KHYBER PAKHTUNKHWA,15,,,,,,,,
Table 10.,DISTRICT-WISE AREA & PRODUCTION OF WHEAT CROP IN BALOCHISTAN,19,,,,,,,,
,GRAPHS FOR RICE CROP,22,,,,,,,,
Table 11.,PROVINCE-WISE AREA & PRODUCTION OF RICE CROP IN PAKISTAN,23,,,,,,,,
Table 12.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN PUNJAB,24,,,,,,,,
Table 13.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN SINDH,28,,,,,,,,
Table 14.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN KHYBER PAKHTUNKHWA,31,,,,,,,,
Table 15.,DISTRICT -WISE AREA & PRODUCTION OF RICE CROP IN BALOCHISTAN,35,,,,,,,,
,GRAPHS FOR MAIZE CROP,38,,,,,,,,
Table 16.,PROVINCE-WISE AREA & PRODUCTION OF MAIZE CROP IN PAKISTAN,39,,,,,,,,
Table 17.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN PUNJAB,40,,,,,,,,
Table 18.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN SINDH,44,,,,,,,,
Table 19.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN KHYBER PAKHTUNKHWA,47,,,,,,,,
Table 20.,DISTRICT-WISE AREA & PRODUCTION OF MAIZE CROP IN BALOCHISTAN,51,,,,,,,,
,GRAPHS FOR BAJRA CROP,54,,,,,,,,
Table 21.,PROVINCE-WISE AREA & PRODUCTION OF BAJRA CROP IN PAKISTAN,55,,,,,,,,
Table 22.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN PUNJAB,56,,,,,,,,
Table 23.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN,60,,,,,,,,
,SINDH,,,,,,,,,
Table 24.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN KHYBER PAKHTUNKHWA,63,,,,,,,,
Table 25.,DISTRICT-WISE AREA & PRODUCTION OF BAJRA CROP IN BALOCHISTAN,67,,,,,,,,
,GRAPHS FOR JOWAR CROP,70,,,,,,,,
Table 26.,PROVINCE-WISE AREA & PRODUCTION OF JOWAR CROP IN PAKISTAN,71,,,,,,,,
Table 27.,DISTRICT-WISE AREA & PRODUCTION OF JOWAR CROP IN PUNJAB,72,,,,,,,,
Table 28.,DISTRICT-WISE AREA & PRODUCTION OF JOWAR CROP IN SINDH,76,,,,,,,,
Table 29.,DISTRICT-WISE AREA & PRODUCTION OF JOWAR CROP IN KHYBER PAKHTUNKHWA,79,,,,,,,,
Table 30.,DISTRICT-WISE AREA & PRODUCTION OF JOWAR CROP IN BALOCHISTAN,83,,,,,,,,
,GRAPHS FOR BARLEY CROP,86,,,,,,,,
Table 31.,PROVINCE-WISE AREA & PRODUCTION OF BARLEY CROP IN PAKISTAN,87,,,,,,,,
Table 32.,DISTRICT-WISE AREA & PRODUCTION OF BARLEY CROP IN PUNJAB,88,,,,,,,,
Table 33.,DISTRICT-WISE AREA & PRODUCTION OF BARLEY CROP IN SINDH,92,,,,,,,,
Table 34.,DISTRICT-WISE AREA & PRODUCTION OF BARLEY CROP IN KHYBER PAKHTUNKHWA,95,,,,,,,,
Table 35.,DISTRICT-WISE AREA & PRODUCTION OF BARLEY CROP IN BALOCHITAN,99,,,,,,,,
Table 36.,AREA & PRODUCTION OF CASH CROPS IN PAKISTAN,102,,,,,,,,
Table 37.,AREA & PRODUCTION OF CASH CROPS IN PUNJAB,103,,,,,,,,
Table 38.,AREA & PRODUCTION OF CASH CROPS IN SINDH,104,,,,,,,,
Table 39.,AREA & PRODUCTION OF CASH CROPS IN KHYBER PAKHTUNKHWA,105,,,,,,,,
Table 40.,AREA & PRODUCTION OF CASH CROPS IN BALOCHISTAN,106,,,,,,,,
,GRAPHS FOR SUGARCANE CROP,107,,,,,,,,
Table 41.,PROVINCE-WISE AREA & PRODUCTION OF SUGARCANE CROP IN PAKISTAN,108,,,,,,,,
Table 42.,DISTRICT-WISE AREA & PRODUCTION OF SUGARCANE CROP IN PUNJAB,109,,,,,,,,
Table 43.,DISTRICT-WISE AREA & PRODUCTION OF SUGARCANE CROP IN SINDH,113,,,,,,,,
Table 44.,DISTRICT-WISE AREA & PRODUCTION OF SUGARCANE CROP IN KHYBER PAKHTUNKHWA,116,,,,,,,,
Table 45.,DISTRICT-WISE AREA & PRODUCTION OF SUGARCANE CROP IN BALOCHISTAN,120,,,,,,,,
,GRAPHS FOR COTTON CROP,123,,,,,,,,
Table 46.,PROVINCE-WISE AREA & PRODUCTION OF COTTON CROP IN PAKISTAN,124,,,,,,,,
Table 47.,DISTRICT-WISE AREA & PRODUCTION OF COTTON CROP IN PUNJAB,125,,,,,,,,
Table 48.,DISTRICT-WISE AREA & PRODUCTION OF COTTON CROP IN SINDH,129,,,,,,,,
Table 49.,DISTRICT-WISE AREA & PRODUCTION OF COTTON CROP IN KHYBER PAKHTUNKHWA,132,,,,,,,,
Table 50.,DISTRICT-WISE AREA & PRODUCTION OF COTTON CROP IN BALOCHISTAN,136,,,,,,,,
,GRAPHS FOR SUNHEMP CROP,139,,,,,,,,
Table 51.,PROVINCE-WISE AREA & PRODUCTION OF SUNHEMP CROP IN PAKISTAN,140,,,,,,,,
Table 52.,DISTRICT-WISE AREA & PRODUCTION OF SUNHEMP CROP IN PUNJAB,141,,,,,,,,
Table 53.,DISTRICT-WISE AREA & PRODUCTION OF SUNHEMP CROP IN KHYBER PAKHTUNKHWA,145,,,,,,,,
,GRAPHS FOR JUTE CROP,149,,,,,,,,
Table 54.,PROVINCE-WISE AREA & PRODUCTION OF JUTE CROP IN PAKISTAN,150,,,,,,,,
Table 55.,DISTRICT-WISE AREA & PRODUCTION OF JUTE CROP IN PUNJAB,151,,,,,,,,
Table 56.,DISTRICT-WISE AREA & PRODUCTION OF JUTE CROP IN SINDH,155,,,,,,,,
Table 57.,DISTRICT-WISE AREA & PRODUCTION OF JUTE CROP IN KHYBER PAKHTUNKHWA,158,,,,,,,,
,GRAPHS FOR TOBACCO CROP,162,,,,,,,,
Table 58.,PROVINCE-WISE AREA & PRODUCTION OF TOBACCO CROP IN PAKISTAN,163,,,,,,,,
Table 59.,DISTRICT-WISE AREA & PRODUCTION OF TOBACCO CROP IN PUNJAB,164,,,,,,,,
Table 60.,DISTRICT-WISE AREA & PRODUCTION OF TOBACCO CROP IN SINDH,168,,,,,,,,
Table 61.,DISTRICT-WISE AREA & PRODUCTION OF TOBACCO CROP IN KHYBER PAKHTUNKHWA,171,,,,,,,,
Table 62.,DISTRICT-WISE AREA & PRODUCTION OF TOBACCO CROP IN BALOCHISTAN,175,,,,,,,,
,GRAPHS FOR SUGARBEET CROP,178,,,,,,,,
Table 63.,PROVINCE-WISE AREA & PRODUCTION OF SUGARBEET CROP IN PAKISTAN,179,,,,,,,,
Table 64.,DISTRICT-WISE AREA & PRODUCTION OF SUGARBEET CROP IN SINDH,180,,,,,,,,
Table 65.,DISTRICT-WISE AREA & PRODUCTION OF SUGARBEET CROP IN KHYBER PAKHTUNKHWA,183,,,,,,,,
Table 66.,DISTRICT-WISE AREA & PRODUCTION OF SUGARBEET CROP IN BALOCHISTAN,187,,,,,,,,
,GRAPHS FOR GUARSEED CROP,190,,,,,,,,
Table 67.,PROVINCE-WISE AREA & PRODUCTION OF GUARSEED CROP IN PAKISTAN,191,,,,,,,,
Table 68.,DISTRICT-WISE AREA & PRODUCTION OF GUARSEED CROP IN PUNJAB,192,,,,,,,,
Table 69.,DISTRICT-WISE AREA & PRODUCTION OF GUARSEED CROP IN SINDH,196,,,,,,,,
Table 70.,DISTRICT-WISE AREA & PRODUCTION OF GUARSEED CROP IN KHYBER PAKHTUNKHWA,199,,,,,,,,
Table 71.,DISTRICT-WISE AREA & PRODUCTION OF GUARSEED CROP IN BALOCHISTAN,203,,,,,,,,
--,CONVERSION FACTORS/ABBREVIATIONS,206,,,,,,,,
,"TELEPHONE,FAX/ WEBSITE",--,,,,,,,,
Crop/ Year,Wheat,Rice,Maize,Jowar,Bajra,Barley,Total,,,
1981-82,7143.4,1975.6,725.8,389.9,548.6,220.4,11003.7,,,
1982-83,7397.9,1977.6,789.8,389.7,438.1,263.1,11256.2,,,
1983-84,7343.2,1998.5,798.0,390.8,553.0,199.9,11283.4,,,
1984-85,7258.5,1998.5,808.8,394.8,605.7,190.0,11256.3,,,
1985-86,7403.3,1863.2,804.0,372.4,560.8,188.8,11192.5,,,
1986-87,7706.2,2065.6,816.2,399.2,508.9,182.3,11678.4,,,
1987-88,7308.4,1963.0,853.9,319.8,292.7,145.0,10882.8,,,
1988-89,7729.6,2041.7,865.8,431.2,510.0,158.7,11737.0,,,
1989-90,7844.6,2106.9,862.9,440.0,511.6,154.7,11920.7,,,
1990-91,7911.4,2112.7,845.2,416.5,490.5,156.8,11933.1,,,
1991-92,7877.7,2096.9,847.5,381.9,312.8,149.0,11665.8,,,
1992-93,8299.7,1973.4,867.5,403.4,487.3,159.5,12190.8,,,
1993-94,8034.2,2187.1,878.5,364.7,303.0,150.6,11918.1,,,
1994-95,8169.8,2124.6,889.5,438.2,508.5,165.0,12295.6,,,
1995-96,8376.5,2161.8,880.8,417.8,406.8,171.6,12415.3,,,
1996-97,8109.1,2251.1,871.1,369.6,302.9,152.1,12055.8,,,
1997-98,8354.6,2317.3,868.6,390.3,460.0,162.7,12553.4,,,
1998-99,8229.9,2423.6,962.2,382.7,462.6,137.2,12598.2,,,
1999-00,8463.0,2515.4,961.7,357.4,313.0,123.6,12734.1,,,
2000-01,8180.9,2376.6,944.1,353.6,389.6,113.0,12357.8,,,
2001-02,8057.5,2114.2,941.6,357.6,417.1,110.6,11998.6,,,
2002-03,8033.9,2225.2,935.5,338.1,349.3,107.7,11989.7,,,
2003-04,8216.2,2460.6,947.1,392.5,539.3,101.6,12657.3,,,
2004-05,8358.0,2519.6,981.8,307.5,343.3,93.3,12603.5,,,
2005-06,8447.9,2621.4,1042.0,254.4,440.7,89.9,12896.3,,,
2006-07,8578.2,2581.2,1016.9,291.6,504.1,94.0,13066.0,,,
2007-08,8549.8,2515.4,1051.7,281.4,530.6,91.1,13020.0,,,
2008-09,9046.0,2962.6,1052.0,262.7,469.7,85.8,13878.8,,,
"(Production in ""000"" Tonnes)",,,,,,,,,,
1981-82,11241.5,3429.1,916.2,223.4,268.2,156.6,16235.0,,,
1982-83,12514.4,3443.2,1005.4,221.9,219.9,185.2,17590.0,,,
1983-84,10881.9,3339.5,1013.5,222.1,256.2,139.5,15852.7,,,
1984-85,11703.0,3315.2,1027.6,230.4,283.7,131.5,16691.4,,,
1985-86,13923.0,2918.9,1009.4,218.6,258.4,133.7,18462.0,,,
1986-87,12015.9,3486.3,1111.2,235.5,232.7,134.2,17215.8,,,
1987-88,12675.1,3240.9,1126.9,180.6,135.3,111.8,17470.6,,,
1988-89,14419.2,3200.2,1204.1,248.1,200.9,122.5,19395.0,,,
1989-90,14315.5,3220.1,1179.3,262.2,204.2,131.3,19312.6,,,
1990-91,14565.0,3260.8,1184.5,238.9,195.8,142.0,19587.0,,,
1991-92,15684.2,3243.1,1203.1,224.5,138.7,139.9,20633.5,,,
1992-93,16156.5,3116.1,1183.6,238.4,203.1,158.3,21056.0,,,
1993-94,15213.0,3994.7,1213.0,212.3,137.5,145.7,20916.2,,,
1994-95,17002.4,3446.5,1318.1,263.4,228.2,164.0,22422.6,,,
1995-96,16907.4,3966.5,1283.4,254.8,161.5,174.4,22748.0,,,
1996-97,16650.5,4304.8,1259.4,219.2,145.6,150.0,22729.4,,,
1997-98,18694.0,4333.0,1251.2,231.3,211.3,174.1,24895.0,,,
1998-99,17857.6,4673.8,1664.9,227.8,212.9,137.4,24774.4,,,
1999-00,21078.6,5155.6,1652.0,220.4,155.6,117.5,28379.7,,,
2000-01,19023.7,4802.6,1643.3,218.1,199.0,98.9,25985.6,,,
2001-02,18226.5,3882.0,1664.4,221.6,216.4,99.8,24310.7,,,
2002-03,19183.3,4478.5,1737.1,202.6,189.2,99.6,25890.3,,,
2003-04,19499.8,4847.6,1897.4,238.1,273.7,97.6,26854.2,,,
2004-05,21612.3,5024.8,2797.0,186.4,193.3,91.7,29905.5,,,
2005-06,21276.8,5547.2,3109.6,152.6,220.8,87.5,30394.5,,,
2006-07,23294.7,5438.4,3088.4,179.5,238.0,92.7,32331.7,,,
2007-08,20958.8,5563.4,3604.7,170.1,305.0,87.4,30689.4,,,
2008-09,24033.0,6952.0,3593.0,164.7,296.4,81.5,35120.6,,,
Crop/ Year,Wheat,Rice,Maize,Jowar,Bajra,Barley,Total,,,
1981-82,5167.2,1088.6,325.0,209.0,307.2,127.5,7224.5,,,
1982-83,5285.0,1072.9,337.3,207.6,295.9,135.9,7334.6,,,
1983-84,5248.2,1096.3,336.3,223.1,276.2,76.6,7256.7,,,
1984-85,5165.7,1120.6,342.1,223.3,304.6,65.8,7222.1,,,
1985-86,5343.0,1113.3,338.7,210.8,281.7,70.3,7357.8,,,
1986-87,5573.7,1174.8,346.1,236.4,266.0,61.2,7658.2,,,
1987-88,5343.8,1085.4,336.7,183.6,255.4,47.7,7252.6,,,
1988-89,5589.4,1186.5,345.5,254.1,302.8,55.0,7733.3,,,
1989-90,5667.5,1281.6,345.2,239.4,295.9,49.4,7879.0,,,
1990-91,5711.7,1261.8,319.7,235.9,279.1,45.9,7854.1,,,
1991-92,5669.2,1231.4,311.3,212.1,275.8,39.5,7739.3,,,
1992-93,5960.5,1221.7,323.4,245.4,289.7,38.7,8079.4,,,
1993-94,5770.7,1300.6,337.3,234.0,278.7,36.2,7957.5,,,
1994-95,5902.3,1338.7,345.1,252.9,303.2,40.5,8182.7,,,
1995-96,5973.5,1327.8,334.1,244.4,286.7,42.0,8208.5,,,
1996-97,5839.9,1354.5,325.4,245.9,279.1,38.4,8083.1,,,
1997-98,5934.6,1409.9,321.7,245.6,290.0,40.0,8241.7,,,
1998-99,5934.6,1492.9,413.9,240.3,280.9,36.6,8399.2,,,
1999-00,6180.3,1609.4,411.4,238.7,288.8,35.7,8764.3,,,
2000-01,6255.5,1627.2,397.4,238.4,303.1,32.0,8853.6,,,
2001-02,6101.8,1475.9,392.6,241.2,309.7,35.2,8556.4,,,
2002-03,6097.3,1512.3,419.5,235.4,332.5,39.9,8636.9,,,
2003-04,6255.5,1687.9,427.5,247.3,344.7,37.6,9000.5,,,
2004-05,6378.9,1754.3,475.0,216.7,331.7,35.9,9192.5,,,
2005-06,6483.4,1762.4,540.8,147.1,361.8,34.8,9330.3,,,
2006-07,6432.8,1728.4,492.5,184.1,366.7,37.0,9241.5,,,
2007-08,6402.0,1723.5,534.5,188.7,367.5,32.8,9249.0,,,
2008-09,6836.2,1977.7,534.4,182.7,386.6,33.0,9950.6,,,
,"(Production in ""000"" Tonnes)",,,,,,,,,
1981-82,7962.1,1450.9,405.3,114.2,165.4,85.7,10183.6,,,
1982-83,8935.1,1407.0,450.1,112.4,160.2,90.0,11154.8,,,
1983-84,7622.8,1409.4,450.0,120.1,152.9,55.0,9810.2,,,
1984-85,8315.1,1534.9,460.0,127.3,170.3,45.6,10653.2,,,
1985-86,10431.6,1478.2,415.0,120.6,154.1,49.8,12649.3,,,
1986-87,8334.3,1534.8,453.3,134.8,149.9,43.9,10651.0,,,
1987-88,9203.8,1352.3,404.8,95.0,116.7,35.1,11207.7,,,
1988-89,10517.0,1367.3,455.3,129.2,125.6,39.7,12634.1,,,
1989-90,10518.2,1482.2,455.0,127.9,127.0,37.4,12747.7,,,
1990-91,10513.8,1422.3,425.0,125.9,120.6,34.9,12642.5,,,
1991-92,11492.3,1342.2,415.3,115.0,118.8,31.9,13515.5,,,
1992-93,11742.0,1403.9,401.9,132.7,124.4,31.1,13836.0,,,
1993-94,11218.0,1588.2,437.4,129.4,124.7,29.4,13527.1,,,
1994-95,12713.0,1684.0,460.5,141.0,138.7,34.6,15171.8,,,
1995-96,12430.0,1803.0,450.8,137.5,135.7,36.3,14993.3,,,
1996-97,12371.0,1864.0,450.2,138.5,132.6,33.9,14990.1,,,
1997-98,13807.0,1948.0,427.9,137.1,139.5,41.8,16501.4,,,
1998-99,13212.0,2176.0,828.2,134.9,136.2,36.9,16524.2,,,
1999-00,16480.0,2481.0,817.2,140.7,143.5,39.5,20101.9,,,
2000-01,15419.0,2577.0,748.5,144.0,155.6,32.8,19076.9,,,
2001-02,14594.4,2266.0,741.9,142.7,158.2,33.7,17936.9,,,
2002-03,15355.0,2579.7,882.9,132.5,180.9,38.4,19169.4,,,
2003-04,15639.0,2871.4,1019.8,144.3,194.8,35.8,19905.1,,,
2004-05,17375.0,2980.3,1934.6,124.1,186.8,35.2,22636.0,,,
2005-06,16776.0,3179.6,2319.4,76.0,205.0,32.0,22588.0,,,
2006-07,17853.0,3075.5,2161.9,101.0,216.8,34.6,23442.8,,,
2007-08,15607.0,3286.0,2694.0,104.3,223.5,28.9,21943.7,,,
2008-09,18420.0,3643.0,2627.2,102.7,247.1,30.4,25070.4,,,
Crop/ Year,Wheat,Rice,Maize,Jowar,Bajra,Barley,Total,,,
1981-82,1026.4,727.6,19.9,105.2,231.4,18.5,2129.0,,,
1982-83,1008.7,718.6,18.1,102.1,126.7,20.5,1994.7,,,
1983-84,1010.7,722.0,19.0,90.5,261.6,26.6,2130.4,,,
1984-85,1029.8,689.7,20.1,103.3,285.1,25.4,2153.4,,,
1985-86,1030.8,585.7,19.5,97.0,265.4,25.4,2023.8,,,
1986-87,1036.0,721.0,20.0,103.6,226.7,24.7,2132.0,,,
1987-88,1024.8,721.8,18.0,91.3,26.1,25.8,1907.8,,,
1988-89,1045.2,685.8,20.4,105.6,187.8,25.3,2070.1,,,
1989-90,1044.8,655.3,19.6,117.4,199.9,24.0,2061.0,,,
1990-91,1053.5,679.9,19.6,117.5,200.2,24.4,2095.1,,,
1991-92,1058.4,692.4,17.6,104.4,26.1,24.0,1922.9,,,
1992-93,1103.7,568.8,12.1,89.8,183.2,24.1,1981.7,,,
1993-94,1105.6,702.9,10.7,83.3,14.9,23.6,1941.0,,,
1994-95,1063.0,598.3,12.2,105.6,191.0,24.9,1995.0,,,
1995-96,1106.4,642.3,11.6,96.4,111.5,23.7,1991.9,,,
1996-97,1106.8,701.8,10.5,85.6,15.6,22.2,1942.5,,,
1997-98,1120.2,689.3,9.3,95.6,160.0,22.3,2096.7,,,
1998-99,1123.7,704.1,10.5,110.3,175.0,22.9,2146.5,,,
1999-00,1144.2,690.4,8.6,91.1,18.0,23.8,1976.1,,,
2000-01,810.7,540.1,7.7,87.2,80.5,16.3,1542.5,,,
2001-02,875.2,461.1,5.5,89.2,100.3,14.1,1545.4,,,
2002-03,863.7,488.3,6.7,75.1,10.3,13.5,1457.6,,,
2003-04,878.2,551.2,8.9,113.8,189.6,10.3,1752.0,,,
2004-05,887.4,543.9,3.0,61.4,5.7,7.7,1509.1,,,
2005-06,933.2,593.2,3.5,66.0,73.3,6.5,1675.7,,,
2006-07,982.2,598.1,2.4,64.0,131.6,7.7,1786.0,,,
2007-08,989.9,594.0,2.8,58.7,155.2,8.2,1808.8,,,
2008-09,1031.4,733.5,2.7,43.9,75.9,6.5,1893.9,,,
"(Production in ""000"" Tonnes)",,,,,,,,,,
1981-82,2061.7,1584.2,10.9,67.1,98,9.9,3831.8,,,
1982-83,2166.7,1560.1,9.8,64.6,52.8,10.9,3864.9,,,
1983-84,1945.8,1478.8,9.8,55.2,96.5,13.7,3599.8,,,
1984-85,2078.7,1345.0,10.4,62.0,106.2,13.0,3615.3,,,
1985-86,2172.2,1071.7,10.1,57.9,98.2,13.0,3423.1,,,
1986-87,2211.5,1548.5,10.4,62.1,75.3,12.6,3920.4,,,
1987-88,2180.4,1537.5,8.7,54.3,13.7,12.9,3807.5,,,
1988-89,2360.6,1435.9,9.7,62.6,63.5,12.9,3945.2,,,
1989-90,2130.9,1340.0,9.6,67.8,68.0,12.1,3628.4,,,
1990-91,2274.5,1433.4,9.6,68.0,68.8,12.3,3866.6,,,
1991-92,2365.4,1487.5,8.7,61.2,13.4,12.3,3948.5,,,
1992-93,2418.0,1272.8,6.0,52.5,69.7,12.5,3831.5,,,
1993-94,2116.6,1954.9,5.6,44.9,7.7,10.8,4140.5,,,
1994-95,2319.1,1406.7,6.4,57.1,80.2,12.2,3881.7,,,
1995-96,2344.8,1697.2,5.9,54.1,20.8,11.4,4134.2,,,
1996-97,2443.9,1961.5,5.6,49.1,8.6,11.3,4480.0,,,
1997-98,2659.4,1840.9,5.0,53.5,66.2,11.4,4636.4,,,
1998-99,2675.1,1930.3,5.5,64.4,73.1,11.4,4759.8,,,
1999-00,3001.3,2123.0,4.6,55.9,8.9,13.0,5206.7,,,
2000-01,2226.5,1682.3,4.4,51.8,40.5,8.9,4014.4,,,
2001-02,2101.0,1159.1,3.2,57.4,54.4,6.4,3381.5,,,
2002-03,2109.2,1299.7,3.6,47.6,5.3,5.8,3471.2,,,
2003-04,2172.2,1432.8,4.8,68.7,76.3,4.4,3759.2,,,
2004-05,2508.6,1499.7,1.6,38.8,3.2,3.4,4055.3,,,
2005-06,2750.3,1721.0,1.6,43.7,12.7,2.9,4532.2,,,
2006-07,3409.2,1761.8,1.4,44.1,18.0,4.2,5238.7,,,
2007-08,3411.4,1817.7,1.8,41.2,77.0,4.4,5353.5,,,
2008-09,3540.2,2537.1,1.7,33.2,45.0,3.6,6160.8,,,
Crop/ Year,Wheat,Rice,Maize,Jowar,Bajra,Barley,Total,,,
1981-82,733.7,68.9,378.5,27.5,9.8,67.4,1285.8,,,
1982-83,824.5,70.0,431.4,21.2,14.6,76.2,1437.9,,,
1983-84,793.6,72.2,439.5,16.2,14.5,85.3,1421.3,,,
1984-85,785.6,72.4,442.9,21.5,15.5,85.4,1423.3,,,
1985-86,781.9,70.1,440.9,21.4,13.5,79.8,1407.6,,,
1986-87,802.8,70.7,444.7,21.5,15.9,82.0,1437.6,,,
1987-88,756.5,60.9,494.6,12.4,10.9,60.4,1395.7,,,
1988-89,811.2,62.7,495.4,25.4,18.5,60.6,1473.8,,,
1989-90,835.6,61.8,493.5,28.8,15.3,60.9,1495.9,,,
1990-91,840.1,62.3,501.4,21.3,10.6,62.0,1497.7,,,
1991-92,842.2,63.1,514.1,22.2,10.4,59.4,1511.4,,,
1992-93,849.6,62.1,527.8,21.6,13.9,59.3,1534.3,,,
1993-94,829.6,62.7,527.7,10.5,8.9,57.5,1496.9,,,
1994-95,864.0,63.3,528.0,18.1,13.7,59.8,1546.9,,,
1995-96,866.1,63.7,530.9,13.6,8.0,58.8,1541.1,,,
1996-97,842.8,64.7,531.6,11.3,7.6,57.2,1515.2,,,
1997-98,918.1,66.8,533.6,13.4,9.3,54.6,1595.8,,,
1998-99,857.6,68.2,534.4,8.6,6.4,48.4,1523.6,,,
1999-00,806.5,67.1,539.2,9.0,5.9,47.1,1474.8,,,
2000-01,790.3,66.4,536.5,8.8,5.4,43.9,1451.3,,,
2001-02,746.9,60.7,540.8,9.7,6.6,40.1,1404.8,,,
2002-03,732.1,61.0,506.4,6.3,6.1,33.2,1345.1,,,
2003-04,741.6,61.7,505.5,7.6,4.7,32.9,1354.0,,,
2004-05,748.6,59.9,498.6,7.6,5.3,32.2,1352.2,,,
2005-06,721.3,59.4,492.2,6.5,4.5,32.8,1316.7,,,
2006-07,754.3,60.8,516.1,6.3,4.5,32.1,1374.1,,,
2007-08,747.4,61.7,509.0,5.8,4.1,32.5,1360.5,,,
2008-09,769.5,61.3,509.4,6.4,3.8,30.5,1380.9,,,
"(Production in ""000"" Tonnes)",,,,,,,,,,
1981-82,899.5,110.1,498.0,13.5,4.7,56.0,1581.8,,,
1982-83,998.4,112.7,542.9,9.9,6.5,62.7,1733.1,,,
1983-84,859.8,115.8,550.9,8.6,6.5,62.1,1603.7,,,
1984-85,872.1,115.5,554.0,10.7,6.9,62.2,1621.4,,,
1985-86,906.5,113.8,580.6,11.1,6.0,60.1,1678.1,,,
1986-87,959.4,118.3,643.5,11.0,7.3,64.3,1803.8,,,
1987-88,899.2,107.5,709.3,6.7,4.7,52.0,1779.4,,,
1988-89,1003.7,117.8,735.1,18.0,11.2,52.1,1937.9,,,
1989-90,1102.1,114.6,710.5,21.5,8.9,59.0,2016.6,,,
1990-91,1148.4,118.0,745.7,15.0,6.0,64.8,2097.9,,,
1991-92,1163.4,123.0,774.9,15.8,6.2,63.0,2146.3,,,
1992-93,1183.0,111.9,771.4,15.5,8.7,63.2,2153.7,,,
1993-94,1134.3,118.4,767.1,7.1,4.8,59.3,2091.0,,,
1994-95,1180.2,118.2,846.7,12.5,8.9,61.5,2228.0,,,
1995-96,1202.5,118.2,822.2,9.5,4.6,62.1,2219.1,,,
1996-97,1064.4,123.5,799.7,7.2,4.0,58.6,2057.4,,,
1997-98,1356.0,130.2,814.0,8.5,5.1,59.7,2373.5,,,
1998-99,1221.8,133.6,827.5,5.4,3.3,49.2,2240.8,,,
1999-00,1067.8,129.2,827.4,5.4,2.9,46.3,2079.0,,,
2000-01,764.0,131.2,887.9,5.0,2.5,32.9,1823.5,,,
2001-02,890.5,121.7,916.4,5.5,3.5,34.7,1972.3,,,
2002-03,1064.4,131.7,847.5,3.7,2.8,30.6,2080.7,,,
2003-04,1025.2,130.8,867.6,4.4,2.4,32.9,2063.3,,,
2004-05,1091.1,123.2,855.5,4.5,2.8,32.7,2109.8,,,
2005-06,1100.6,117.5,782.4,3.9,2.3,33.5,2040.2,,,
2006-07,1160.4,122.9,918.6,3.6,2.3,32.7,2240.5,,,
2007-08,1071.8,128.3,903.9,3.4,2.3,31.9,2141.6,,,
2008-09,1204.5,128.2,957.9,3.7,2.2,27.6,2324.2,,,
Crop/ Year,Wheat,Rice,Maize,Jowar,Bajra,Barley,Total,,,
1981-82,216.1,90.5,2.4,48.2,0.2,7.0,364.4,,,
1982-83,279.7,116.1,3.0,58.8,0.9,30.5,489.0,,,
1983-84,290.7,108.0,3.2,61.0,0.7,11.4,475.0,,,
1984-85,277.4,115.8,3.7,46.7,0.5,13.4,457.5,,,
1985-86,247.6,94.1,4.9,43.2,0.2,13.3,403.3,,,
1986-87,293.7,99.1,5.4,37.7,0.3,14.4,450.6,,,
1987-88,183.3,94.9,4.6,32.5,0.3,11.1,326.7,,,
1988-89,283.8,106.7,4.5,46.1,0.9,17.8,459.8,,,
1989-90,296.7,108.2,4.6,54.4,0.5,20.4,484.8,,,
1990-91,306.1,108.7,4.5,41.8,0.6,24.5,486.2,,,
1991-92,307.9,110.0,4.5,43.2,0.5,26.1,492.2,,,
1992-93,385.9,120.8,4.2,46.6,0.5,37.4,595.4,,,
1993-94,328.3,120.9,2.8,36.9,0.5,33.3,522.7,,,
